,128,256,512,1024,2048
0,1288.335176,550.797722,1420.376837,1263.785532,974.389585
1,2385.567057,1925.914157,1465.331026,1278.875653,1065.42279
2,3858.250391,4675.402965,4613.997542,4664.250971,4629.032539
3,4996.788182,3250.485038,702.479094,675.452358,675.70995
4,2621.60385,1951.338249,346.761804,349.643879,349.59722
5,2603.217478,1956.617918,345.441966,351.046977,349.776926
6,2607.587193,1957.645302,345.405074,351.421528,349.59894
7,5026.730585,6012.477064,8141.760014,8877.006324,10723.22203
8,13774.39737,6710.752185,2239.606736,2665.467391,2901.637471
9,12303.61983,6601.824263,2241.016506,2658.576339,2900.291798
10,4869.171117,5750.151146,6968.04199,8223.772755,9131.854449
11,13879.2323,6494.86712,2241.362675,2619.290085,2910.216903
12,8161.712395,6177.974334,8090.595955,9791.165716,6737.635603
13,6248.963051,3405.849777,1157.2065,1148.658663,1327.263894
14,6246.171258,2920.977071,1145.579756,1178.621648,1357.589377
15,8158.53725,3876.301884,1174.85553,1395.316151,1512.026301
16,8164.890014,3759.726601,1174.304056,1391.975824,1501.120478
17,8041.226994,3918.994627,4843.455721,5368.78831,4993.564323
18,6575.174792,3813.176963,5236.406084,5311.761723,4946.672616
19,6533.183801,4098.801915,5157.766774,5044.406733,4909.098599
20,19812.48937,10060.69561,4365.5495,5272.780113,5546.641389
21,13413.18836,10220.97292,13964.06736,15014.3443,11141.32902
22,8607.231685,4283.836176,5764.227343,4955.568343,4955.255314
23,2327.066134,1212.629631,280.845837,318.761895,339.443578
24,2975.316734,1003.938389,1575.75175,1596.14832,664.975914
25,17483.55148,9835.682837,4374.413647,5286.861889,5728.89858
26,19691.56808,9948.833872,4359.296564,5279.44817,5710.848745
46,33825.03226,58284.57877,101660.843,94805.36159,87113.88774
50,14810.39548,47120.3932,158014.7492,241005.9646,260650.9524
0,1247.821974,584.258482,1502.35625,1218.128481,934.952797
1,2377.588572,1738.319415,1633.532504,1287.797302,1066.302319
2,3861.802781,4041.680057,4628.492783,4470.092094,4566.103795
3,7854.501873,6348.032843,5598.330233,5291.271364,2400.538013
4,2389.916809,1457.392936,343.162309,346.635972,340.330694
5,2386.245662,1624.911961,342.962557,347.689044,346.40999
6,2551.900706,1663.803881,344.401332,338.6876,348.826417
7,4946.113208,5183.352437,8148.160865,9729.641439,9539.965365
8,11838.28394,9916.198357,13497.90096,17738.41644,17672.24624
9,12464.49926,9981.981853,13621.18698,16584.53736,18488.06229
10,4803.371507,5750.348231,7789.091373,8193.578429,9222.229061
11,10863.25822,9369.082482,12884.18037,15737.87678,16643.09766
12,6394.730904,5800.347802,7720.340179,9534.58293,6459.145494
13,7340.39902,5785.745668,8146.874945,9242.670466,5407.746799
14,7863.337083,6038.119163,8284.047784,9447.420243,6539.641046
15,6066.392826,4726.575481,6288.812733,8331.698593,5797.465383
16,5064.972829,4673.189048,6292.085209,8203.381416,5733.462317
17,6923.578739,4129.572944,5079.127732,5418.852471,4961.295875
18,7663.628723,4092.153615,5136.645739,5399.983122,4981.51871
19,7076.605365,4135.88463,4680.930622,5409.209222,4980.684678
20,16851.36199,16581.55367,23782.28932,29247.98597,30005.09319
21,13426.06914,10368.14634,14224.30827,17181.32616,11300.23715
22,8852.477839,4140.886563,5765.044392,5230.969838,4974.093745
23,3473.831373,1303.945595,1573.531214,2383.51398,943.636051
24,2840.32234,1001.051099,1413.185618,1580.664712,663.104896
25,16200.47895,14672.45267,21734.7845,28597.6923,30060.98715
26,16750.41534,16278.28652,21339.96788,31036.76816,30104.60323
46,28886.39119,55989.37427,98486.73907,94994.91947,84513.4105
50,15202.26169,50186.10829,168129.435,244582.5435,248062.1862
0,1882.28874,1553.906343,1730.286626,1956.874306,1361.210005
1,3015.098843,2771.123995,2556.162986,2016.764439,1475.19898
2,4871.433217,6697.491417,8116.379557,6831.620345,5290.345057
3,6566.939095,4261.042579,1269.351416,1332.604929,1294.166659
4,3662.827701,2789.345526,620.92317,686.529987,665.3282
5,3651.984327,2798.838239,621.760062,691.219167,665.653811
6,3648.172567,2739.674059,620.713259,689.173655,664.816692
7,4471.539446,8998.962641,10178.8054,13181.52307,12459.83102
